Country/Region,Confirmed,Recovered,Deaths,Date,Days
Ireland,1,0,0,2020-02-29,0
Ireland,1,0,0,2020-03-01,1
Ireland,1,0,0,2020-03-02,2
Ireland,2,0,0,2020-03-03,3
Ireland,6,0,0,2020-03-04,4
Ireland,6,0,0,2020-03-05,5
Ireland,18,0,0,2020-03-06,6
Ireland,18,0,0,2020-03-07,7
Ireland,21,0,0,2020-03-08,8
Ireland,19,0,0,2020-03-08,9
Ireland,21,0,0,2020-03-09,10
Ireland,34,0,0,2020-03-10,11
Ireland,43,0,1,2020-03-11,12
Ireland,43,0,1,2020-03-12,13
Ireland,90,0,1,2020-03-13,14
Ireland,129,0,2,2020-03-14,15
Ireland,129,0,2,2020-03-15,16
Ireland,169,0,2,2020-03-16,17
Ireland,223,5,2,2020-03-17,18
Ireland,292,5,2,2020-03-18,19
Ireland,557,5,3,2020-03-19,20
Ireland,683,5,3,2020-03-20,21
Ireland,785,5,3,2020-03-21,22
Ireland,906,5,4,2020-03-22,23
Ireland,1125,5,6,2020-03-23,24
Ireland,1329,5,7,2020-03-24,25
Ireland,1564,5,9,2020-03-25,26
Ireland,1819,5,19,2020-03-26,27
Ireland,2121,5,22,2020-03-27,28
Ireland,2415,5,36,2020-03-28,29
Ireland,2615,5,46,2020-03-29,30
Ireland,2910,5,54,2020-03-30,31
Ireland,3235,5,71,2020-03-31,32
Ireland,3447,5,85,2020-04-01,33
Ireland,3849,5,98,2020-04-02,34
Ireland,4273,5,120,2020-04-03,35
Ireland,4604,25,137,2020-04-04,36
Ireland,4994,25,158,2020-04-05,37
Ireland,5364,25,174,2020-04-06,38
Ireland,5709,25,210,2020-04-07,39
Ireland,6074,25,235,2020-04-08,40
Ireland,6574,25,263,2020-04-09,41
Ireland,8089,25,287,2020-04-10,42
Ireland,8928,25,320,2020-04-11,43
Ireland,9655,25,334,2020-04-12,44
Ireland,10647,25,365,2020-04-13,45
Ireland,11479,25,406,2020-04-14,46
Ireland,12547,77,444,2020-04-15,47
Ireland,13271,77,486,2020-04-16,48
Ireland,13980,77,530,2020-04-17,49
Ireland,14758,77,571,2020-04-18,50
Ireland,15251,77,610,2020-04-19,51
Ireland,15652,77,687,2020-04-20,52
Ireland,16040,9233,730,2020-04-21,53
Ireland,16671,9233,769,2020-04-22,54
Ireland,17607,9233,794,2020-04-23,55
Ireland,18184,9233,1014,2020-04-24,56
Ireland,18561,9233,1063,2020-04-25,57
Ireland,19262,9233,1087,2020-04-26,58
Ireland,19648,9233,1102,2020-04-27,59
Ireland,19877,9233,1159,2020-04-28,60
Ireland,20253,13386,1190,2020-04-29,61
Ireland,20612,13386,1232,2020-04-30,62
Ireland,20833,13386,1265,2020-05-01,63
Ireland,21176,13386,1286,2020-05-02,64
Ireland,21506,13386,1303,2020-05-03,65
Ireland,21772,13386,1319,2020-05-04,66
Ireland,21983,13386,1339,2020-05-05,67
Ireland,22248,17110,1375,2020-05-06,68
Ireland,22385,17110,1403,2020-05-07,69
Ireland,22541,17110,1429,2020-05-08,70
Ireland,22760,17110,1446,2020-05-09,71
Ireland,22996,17110,1458,2020-05-10,72
Ireland,23135,17110,1467,2020-05-11,73
Ireland,23242,17110,1488,2020-05-12,74
Ireland,23401,19470,1497,2020-05-13,75
Ireland,23827,19470,1506,2020-05-14,76
Ireland,23956,19470,1518,2020-05-15,77
Ireland,24048,19470,1533,2020-05-16,78
Ireland,24112,19470,1543,2020-05-17,79
Ireland,24200,19470,1547,2020-05-18,80
Ireland,24251,19470,1561,2020-05-19,81
Ireland,24315,21060,1571,2020-05-20,82
Ireland,24391,21060,1583,2020-05-21,83
Ireland,24506,21060,1592,2020-05-22,84
Ireland,24582,21060,1604,2020-05-23,85
Ireland,24639,21060,1608,2020-05-24,86
Ireland,24698,21060,1606,2020-05-25,87
Ireland,24735,21060,1615,2020-05-26,88
Ireland,24803,22089,1631,2020-05-27,89
Ireland,24841,22089,1639,2020-05-28,90
Ireland,24876,22089,1645,2020-05-29,91
Ireland,24929,22089,1651,2020-05-30,92
Ireland,24990,22089,1652,2020-05-31,93
Ireland,25062,22089,1650,2020-06-01,94
Ireland,25066,22089,1658,2020-06-02,95
Ireland,25111,22698,1659,2020-06-03,96
Ireland,25142,22698,1664,2020-06-04,97
Ireland,25163,22698,1670,2020-06-05,98
Ireland,25183,22698,1678,2020-06-06,99
Ireland,25201,22698,1679,2020-06-07,100
Ireland,25207,22698,1683,2020-06-08,101
Ireland,25215,22698,1691,2020-06-09,102
Ireland,25231,22698,1695,2020-06-10,103
Ireland,25238,22698,1703,2020-06-11,104
Ireland,25250,22698,1705,2020-06-12,105
Ireland,25295,22698,1705,2020-06-13,106
Ireland,25303,22698,1706,2020-06-14,107
Ireland,25321,22698,1706,2020-06-15,108
Ireland,25334,22698,1709,2020-06-16,109
Ireland,25341,22698,1710,2020-06-17,110
Ireland,25355,22698,1714,2020-06-18,111
Ireland,25368,22698,1714,2020-06-19,112
Ireland,25374,22698,1715,2020-06-20,113
Ireland,25379,22698,1715,2020-06-21,114
Ireland,25383,22698,1717,2020-06-22,115
Ireland,25391,22698,1720,2020-06-23,116
Ireland,25396,23364,1726,2020-06-24,117
Ireland,25405,23364,1727,2020-06-25,118
Ireland,25414,23364,1730,2020-06-26,119
Ireland,25437,23364,1734,2020-06-27,120
Ireland,25439,23364,1735,2020-06-28,121
Ireland,25462,23364,1735,2020-06-29,122
Ireland,25473,23364,1736,2020-06-30,123
Ireland,25477,23364,1738,2020-07-01,124
Ireland,25489,23364,1738,2020-07-02,125
Ireland,25498,23364,1740,2020-07-03,126
Ireland,25509,23364,1741,2020-07-04,127
Ireland,25527,23364,1741,2020-07-05,128
Ireland,25531,23364,1741,2020-07-06,129
Ireland,25538,23364,1742,2020-07-07,130
Ireland,25542,23364,1738,2020-07-08,131
Ireland,25565,23364,1743,2020-07-09,132
Ireland,25589,23364,1744,2020-07-10,133
Ireland,25611,23364,1746,2020-07-11,134
Ireland,25628,23364,1746,2020-07-12,135
Ireland,25638,23364,1746,2020-07-13,136
Ireland,25670,23364,1746,2020-07-14,137
Ireland,25683,23364,1748,2020-07-15,138
Ireland,25698,23364,1749,2020-07-16,139
Ireland,25730,23364,1752,2020-07-17,140
Ireland,25750,23364,1753,2020-07-18,141
Ireland,25760,23364,1753,2020-07-19,142
Ireland,25766,23364,1753,2020-07-20,143
Ireland,25802,23364,1753,2020-07-21,144
Ireland,25819,23364,1754,2020-07-22,145
Ireland,25826,23364,1763,2020-07-23,146
